Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
0.0,true,-1,464.0,-1.0,-1.0,10868,1.0,0.0
0.0,true,-1,390.0,-1.0,-1.0,9830,1.0,0.0
0.0,true,-1,308.0,-1.0,-1.0,6784,1.0,0.0
0.0,true,-1,324.0,-1.0,-1.0,7577,1.0,0.0
0.0,true,-1,360.0,-1.0,-1.0,8854,1.0,0.0
0.0,true,-1,332.0,-1.0,-1.0,7426,1.0,0.0
0.0,true,-1,378.0,-1.0,-1.0,9027,1.0,0.0
0.0,true,-1,338.0,-1.0,-1.0,8334,1.0,0.0
0.0,true,-1,314.0,-1.0,-1.0,8162,1.0,0.0
0.0,true,-1,390.0,-1.0,-1.0,8128,1.0,0.0
0.0,true,-1,362.0,-1.0,-1.0,7471,1.0,0.0
0.0,true,-1,400.0,-1.0,-1.0,13451,1.0,0.0
0.0,true,-1,406.0,-1.0,-1.0,10532,1.0,0.0
0.0,true,-1,530.0,-1.0,-1.0,11097,1.0,0.0
0.0,true,-1,310.0,-1.0,-1.0,8208,1.0,0.0
0.0,true,-1,490.0,-1.0,-1.0,13347,1.0,0.0
0.0,true,-1,324.0,-1.0,-1.0,6148,1.0,0.0
0.0,true,-1,386.0,-1.0,-1.0,9818,1.0,0.0
0.0,true,-1,430.0,-1.0,-1.0,9315,1.0,0.0
0.0,true,-1,320.0,-1.0,-1.0,7641,1.0,0.0
0.0,true,-1,340.0,-1.0,-1.0,9591,1.0,0.0
0.0,true,-1,374.0,-1.0,-1.0,10221,1.0,0.0
0.0,true,-1,372.0,-1.0,-1.0,8890,1.0,0.0
0.0,true,-1,374.0,-1.0,-1.0,9626,1.0,0.0
0.0,true,-1,300.0,-1.0,-1.0,7372,1.0,0.0
0.0,true,-1,380.0,-1.0,-1.0,10106,1.0,0.0
0.0,true,-1,332.0,-1.0,-1.0,9416,1.0,0.0
0.0,true,-1,334.0,-1.0,-1.0,9198,1.0,0.0
0.0,true,-1,386.0,-1.0,-1.0,10338,1.0,0.0
0.0,true,-1,336.0,-1.0,-1.0,10166,1.0,0.0
0.0,true,-1,316.0,-1.0,-1.0,6739,1.0,0.0
0.0,true,-1,386.0,-1.0,-1.0,9085,1.0,0.0
0.0,true,-1,442.0,-1.0,-1.0,10974,1.0,0.0
0.0,true,-1,392.0,-1.0,-1.0,8383,1.0,0.0
0.0,true,-1,328.0,-1.0,-1.0,10528,1.0,0.0
0.0,true,-1,396.0,-1.0,-1.0,10883,1.0,0.0
0.0,true,-1,448.0,-1.0,-1.0,10798,1.0,0.0
0.0,true,-1,384.0,-1.0,-1.0,10904,1.0,0.0
0.0,true,-1,328.0,-1.0,-1.0,9798,1.0,0.0
0.0,true,-1,552.0,-1.0,-1.0,15058,1.0,0.0
0.0,true,-1,334.0,-1.0,-1.0,8596,1.0,0.0
0.0,true,-1,376.0,-1.0,-1.0,6769,1.0,0.0
0.0,true,-1,446.0,-1.0,-1.0,11296,1.0,0.0
0.0,true,-1,396.0,-1.0,-1.0,11701,1.0,0.0
0.0,true,-1,468.0,-1.0,-1.0,12562,1.0,0.0
0.0,true,-1,360.0,-1.0,-1.0,9315,1.0,0.0
0.0,true,-1,326.0,-1.0,-1.0,8643,1.0,0.0
0.0,true,-1,360.0,-1.0,-1.0,9957,1.0,0.0
0.0,true,-1,416.0,-1.0,-1.0,11099,1.0,0.0
0.0,true,-1,358.0,-1.0,-1.0,8758,1.0,0.0
0.0,true,-1,360.0,-1.0,-1.0,9305,1.0,0.0
0.0,true,-1,408.0,-1.0,-1.0,10173,1.0,0.0
0.0,true,-1,642.0,-1.0,-1.0,18767,1.0,0.0
0.0,true,-1,314.0,-1.0,-1.0,6928,1.0,0.0
