Probability,Solvable,Runtime,Path Length,Number of Cells Processed,Number of Bumps,Number of Planning Steps,Number of Cells Determined
0.0,true,3.031483223,384.0,11078,101,112,799
0.0,true,3.360097874,436.0,13797,124,145,913
0.0,true,2.188617925,328.0,9855,88,97,710
0.0,true,4.023280604,442.0,14173,103,132,854
0.0,true,1.021429851,268.0,8516,70,79,625
0.0,true,3.976951355,390.0,12238,107,125,837
0.0,true,1.645967304,332.0,13951,108,120,722
0.0,true,3.691501895,402.0,10138,102,118,795
0.0,true,1.509925535,316.0,11723,91,99,686
0.0,true,2.723379287,300.0,7159,71,79,659
0.0,true,1.875742492,370.0,13812,126,138,808
0.0,true,1.919145617,334.0,9425,86,95,732
0.0,true,1.408792509,376.0,12578,98,119,813
0.0,true,2.296942383,292.0,7910,67,77,637
0.0,true,1.829971181,392.0,11611,107,118,825
0.0,true,1.483788156,318.0,10238,104,119,750
0.0,true,3.245391253,466.0,14603,129,149,929
0.0,true,1.630586338,378.0,10646,89,109,812
0.0,true,1.519817227,270.0,7700,67,79,615
0.0,true,1.458648497,358.0,9395,78,97,758
0.0,true,2.214339828,456.0,17181,138,153,1004
0.0,true,2.650724916,410.0,11222,110,128,844
0.0,true,1.237666201,326.0,11655,96,105,712
0.0,true,1.806717838,294.0,8345,78,92,661
0.0,true,1.870319966,388.0,12358,104,122,850
0.0,true,3.06532263,406.0,11516,108,123,815
0.0,true,1.876793075,384.0,9852,85,105,780
0.0,true,1.06252682,326.0,10513,89,102,702
0.0,true,1.934695406,456.0,15007,127,156,958
0.0,true,2.263010226,356.0,11446,95,107,731
0.0,true,1.281425498,330.0,12161,104,114,722
0.0,true,1.777128628,422.0,15194,110,128,839
0.0,true,1.610757206,350.0,11069,87,107,729
0.0,true,1.80947576,444.0,13300,108,128,889
0.0,true,3.132016766,518.0,16197,130,153,1026
0.0,true,0.940353423,342.0,12436,107,124,780
0.0,true,3.404652108,562.0,16756,144,178,1111
0.0,true,1.971116549,314.0,10929,98,107,703
0.0,true,2.897254717,396.0,10509,108,119,838
0.0,true,2.329635304,384.0,12494,107,123,782
0.0,true,1.880883421,412.0,9566,86,107,807
0.0,true,1.828193741,446.0,13349,123,140,866
0.0,true,2.175266902,468.0,13359,143,161,969
0.0,true,1.815356859,366.0,11426,99,109,753
0.0,true,1.30820398,336.0,9913,77,95,722
0.0,true,3.139025276,518.0,15008,134,159,989
0.0,true,1.891460747,330.0,7653,67,77,671
0.0,true,1.784925865,300.0,6524,66,77,651
0.0,true,1.225799015,338.0,11889,101,114,758
0.0,true,2.304316285,444.0,16565,110,138,887
0.0,true,1.880386708,326.0,10748,109,120,708
0.0,true,2.755036772,374.0,11966,102,120,815
0.0,true,2.410474945,360.0,9074,83,94,731
0.0,true,1.503342252,508.0,14690,117,141,970
0.0,true,1.413697841,352.0,9265,91,106,744
0.0,true,3.211229193,480.0,14732,152,169,1014
0.0,true,1.876693729,384.0,12663,104,119,783
0.0,true,1.50398612,374.0,14493,130,140,846
0.0,true,2.401338106,510.0,15638,142,169,1051
0.0,true,1.921428097,414.0,12197,111,123,862
0.0,true,2.451039769,382.0,12539,106,124,740
0.0,true,2.055431461,430.0,11816,108,130,858
0.0,true,1.739699933,432.0,13719,108,133,890
0.0,true,2.420668743,380.0,11566,104,121,815
0.0,true,1.439071591,338.0,7771,90,98,752
0.0,true,2.068367405,300.0,8182,83,95,687
0.0,true,2.774606499,394.0,9547,83,101,827
0.0,true,1.533184777,434.0,10096,98,116,844
0.0,true,0.845285186,378.0,12441,109,121,835
0.0,true,1.326100086,456.0,11841,114,142,957
0.0,true,0.713429749,366.0,11824,110,121,772
0.0,true,0.70771005,376.0,11949,89,113,800
0.0,true,1.428643231,670.0,18965,155,193,1262
